rank_page,word,count_sum,count_mean,tfidf_mean,rank_article,rank_page_count,article_count,current_page_count,first_appear
8,LJ菌,3,3.0,0.012562704710009929,5,3,3,1,1
8,Lactobacillus,24,12.0,0.02999807335941733,5,7,16,2,1
8,Yu,4,4.0,0.01686811821618036,5,1,1,1,8
8,acidophilus,4,4.0,0.009217243713306077,5,2,2,1,5
8,lactis,4,4.0,0.01014868683990796,5,1,1,1,8
8,reuteri,4,4.0,0.02631015455802754,5,1,1,1,8
8,rhamnosus,5,5.0,0.012457184750642029,5,3,3,1,1
8,世界,5,5.0,0.0017236647206103908,5,1,1,1,8
8,主要,5,5.0,0.0022430419639363113,5,3,3,1,1
8,乳桿菌,4,4.0,0.007998147242307917,5,8,11,1,1
8,乳酸,4,4.0,0.004171002143029258,5,3,3,1,3
8,乳酸桿菌,2,1.0,0.0035282904688752276,5,8,18,2,1
8,乳酸菌,35,17.5,0.017297280274315877,5,10,43,2,1
8,乾酪乳酸桿菌,1,1.0,0.0031274895613490603,5,5,6,1,1
8,人類,5,5.0,0.007119748365305488,5,3,3,1,5
8,人體,8,8.0,0.008132975772088723,5,9,16,1,1
8,代田菌,1,1.0,0.0037644362077678475,5,1,1,1,8
8,作用,4,4.0,0.0017795398158273524,5,5,6,1,5
8,使用,38,19.0,0.004304257973732215,5,7,19,2,1
8,來源,13,13.0,0.015300845249715672,5,5,7,1,1
8,依賴,7,7.0,0.01285494858888742,5,2,2,1,1
8,促進,4,4.0,0.0048643767154766,5,3,3,1,1
8,保健,11,11.0,0.0026462399820537143,5,5,5,1,1
8,健康,42,14.0,0.000899750419438604,5,10,39,3,1
8,優勢,4,4.0,0.015748735962791728,5,1,1,1,8
8,優酪乳,6,6.0,0.012052364817093049,5,4,5,1,1
8,免疫,13,6.5,0.004269375134789727,5,3,5,2,5
8,兒童,4,4.0,0.009811580072409856,5,2,2,1,5
8,內菌,1,1.0,0.006694405852243277,5,3,3,1,4
8,公告,9,9.0,0.005800357723432357,5,1,1,1,8
8,具有,16,16.0,0.018603532343319042,5,5,6,1,1
8,分享,15,7.5,0.003910151737484428,5,1,2,2,8
8,分類,4,4.0,0.002666043816105416,5,1,1,1,8
8,利用,8,8.0,0.012872279827714888,5,2,2,1,5
8,刺激,4,4.0,0.006445033745602216,5,1,1,1,8
8,副乾酪乳桿菌,4,4.0,0.01092084733917824,5,8,13,1,1
8,功效,6,6.0,0.003669080191302193,5,9,16,1,1
8,功能,19,9.5,0.0036690875446202115,5,6,8,2,1
8,動物,14,14.0,0.04073855776331006,5,3,3,1,5
8,動物體,5,5.0,0.04284513270207619,5,1,1,1,8
8,包括,4,4.0,0.0047822149218270564,5,5,6,1,1
8,原因,7,7.0,0.003022978746817742,5,3,3,1,1
8,原料,5,5.0,0.004273006262903721,5,2,2,1,8
8,台灣,9,9.0,0.004204677823380684,5,2,3,1,1
8,吃益生菌,14,14.0,0.020776626396479737,5,10,31,1,1
8,含有,8,8.0,0.004509469433656983,5,5,5,1,3
8,吸附,4,4.0,0.014446462752840726,5,1,1,1,8
8,品牌,8,8.0,0.001699722100027847,5,5,6,1,1
8,商品,4,4.0,0.11692890138567287,5,2,2,1,3
8,問題,8,4.0,0.0034662241768925206,5,7,9,2,1
8,嗜酸乳桿菌,5,5.0,0.01135951487242578,5,10,20,1,1
8,因素,4,4.0,0.008450530373867327,5,1,1,1,8
8,國際,5,5.0,0.00376365749462181,5,3,3,1,3
8,填完,4,4.0,0.03519037670262254,5,1,1,1,8
8,增加,8,4.0,0.006153892544443377,5,6,10,2,2
8,增殖,10,10.0,0.04236681926895807,5,1,1,1,8
8,壞菌,3,3.0,0.02374864015703296,5,9,34,1,1
8,大本山益生菌,5,5.0,0.0142042278596792,5,2,2,1,3
8,天然,4,4.0,0.005789016686714369,5,3,3,1,1
8,好菌,8,4.0,0.008628163001054862,5,10,36,2,1
8,媽咪,4,4.0,0.0044979761744945,5,1,1,1,8
8,存活,4,4.0,0.01573902049989605,5,1,1,1,8
8,孩子,7,7.0,0.0025410230343276925,5,1,1,1,8
8,安全,4,4.0,0.0021142910511459875,5,4,4,1,1
8,定殖,9,9.0,0.01648666277181297,5,6,6,1,1
8,容易,5,5.0,0.0020107983302572697,5,4,7,1,3
8,宿主,13,6.5,0.023702048452733708,5,1,2,2,8
8,寡糖,5,5.0,0.008278346494367119,5,7,8,1,1
8,實驗,5,5.0,0.007182849071665131,5,2,2,1,1
8,審稿,9,9.0,0.10085626782765264,5,1,1,1,8
8,寶寶,11,11.0,0.009742576012072929,5,2,2,1,1
8,屎腸球菌,6,6.0,0.01862311665919299,5,7,9,1,1
8,市售,8,8.0,0.014630661556720381,5,2,2,1,1
8,市面上,7,7.0,0.009134822187666336,5,4,4,1,1
8,幫助,16,8.0,0.017133264056868217,5,8,18,2,1
8,延伸,7,7.0,0.008217231535278317,5,1,1,1,8
8,建議,7,7.0,0.0057798168071877005,5,8,18,1,1
8,微生物,9,4.5,0.008061606036523634,5,6,11,2,1
8,念珠菌,1,1.0,0.0020580193661792674,5,2,2,1,5
8,意見,6,6.0,0.03138165822899749,5,1,1,1,8
8,感染,4,4.0,0.0069379902821800595,5,2,3,1,5
8,應用,13,13.0,0.03739628007812516,5,1,1,1,8
8,打造,5,5.0,0.002793863790149938,5,2,2,1,3
8,抑菌,7,3.5,0.010663281212671941,5,4,5,2,3
8,抗生素,14,7.0,0.013638611254188443,5,7,8,2,1
8,抗菌,1,1.0,0.002068905578855084,5,4,4,1,3
8,持續,4,4.0,0.005099000486369335,5,1,1,1,8
8,指出,7,7.0,0.008217231535278317,5,1,1,1,8
8,挑選,7,7.0,0.00889581034461665,5,7,11,1,1
8,推薦,2,1.0,0.0012291287274058197,5,9,24,2,1
8,提交,6,6.0,0.02627986414426208,5,1,1,1,8
